Test Number,Hamming Distance
797,4
798,3
799,3
800,2
801,3
802,2
803,2
804,1
805,4
806,3
807,3
808,2
809,4
810,4
811,2
812,1
813,4
814,4
815,2
816,1
817,4
818,3
819,3
820,3
821,4
822,2
823,2
824,2
825,4
826,3
827,3
828,2
829,3
830,2
831,2
832,1
833,4
834,3
835,3
836,2
837,4
838,4
839,2
840,1
841,4
842,4
843,2
844,1
845,4
846,3
847,3
848,3
849,4
850,2
851,2
852,2
853,4
854,3
855,3
856,2
857,3
858,2
859,2
860,1
861,4
862,3
863,3
864,2
865,4
866,4
867,2
868,1
869,4
870,4
871,2
872,1
873,4
874,3
875,3
876,3
877,4
878,2
879,2
880,2
881,4
882,3
883,3
884,2
885,3
886,2
887,2
888,1
889,4
890,3
891,3
892,2
893,4
894,4
895,2
896,1
897,4
898,4
899,2
900,1
901,4
902,3
903,3
904,3
905,4
906,2
907,2
908,2
909,4
910,3
911,3
912,2
913,3
914,2
915,2
916,1
917,4
918,3
919,3
920,2
921,4
922,4
923,2
924,1
925,4
926,4
927,2
928,1
929,4
930,3
931,3
932,3
933,4
934,2
935,2
936,2
937,4
938,3
939,3
940,2
941,3
942,2
943,2
944,1
945,4
946,3
947,3
948,2
949,4
950,4
951,2
952,1
953,4
954,4
955,2
956,1
957,4
958,3
959,3
960,3
961,4
962,2
963,2
964,2
965,4
966,3
967,3
968,2
969,3
970,2
971,2
972,1
973,4
974,3
975,3
976,2
977,4
978,4
979,2
980,1
981,4
982,4
983,2
984,1
985,4
986,3
987,3
988,3
989,4
990,2
991,2
992,2
993,4
994,3
995,3
996,2
997,3
998,2
999,2
1000,1

Mean Hamming Distance,2.749
Standard Deviation,0.9859000963586554
